user_activity,environmental_brightness,theme,layout,font_size,likert_sum,binarized_output
STILL,66,dark-theme,largeCards,large-font,6,1
STILL,52,dark-theme,largeCards,large-font,6,1
STILL,80,dark-theme,xLargeCards,small-font,5,0
STILL,125,dark-theme,xLargeCards,large-font,3,0
STILL,67,dark-theme,xLargeCards,large-font,4,0
STILL,14,light-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,5,0
STILL,0,dark-theme,largeCards,large-font,5,0
STILL,0,dark-theme,largeCards,small-font,3,0
STILL,0,dark-theme,largeCards,small-font,4,0
STILL,0,light-theme,largeCards,small-font,3,0
STILL,0,light-theme,largeCards,small-font,3,0
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,39,dark-theme,largeCards,small-font,6,1
STILL,46,dark-theme,largeCards,small-font,6,1
STILL,8,light-theme,largeCards,large-font,5,0
STILL,9,light-theme,largeCards,large-font,4,0
STILL,10,dark-theme,largeCards,large-font,1,0
STILL,16,light-theme,largeCards,large-font,6,1
STILL,16,light-theme,largeCards,large-font,6,1
ON_FOOT,318,light-theme,xLargeCards,small-font,-6,0
ON_FOOT,782,dark-theme,xLargeCards,small-font,-6,0
ON_FOOT,192,dark-theme,largeCards,small-font,-6,0
IN_VEHICLE,875,dark-theme,largeCards,large-font,6,1
IN_VEHICLE,921,dark-theme,xLargeCards,small-font,-6,0
IN_VEHICLE,935,dark-theme,xLargeCards,small-font,-6,0
ON_FOOT,198,light-theme,xLargeCards,large-font,-6,0
ON_FOOT,285,light-theme,xLargeCards,large-font,-6,0
ON_FOOT,53,dark-theme,xLargeCards,large-font,-6,0
ON_FOOT,59,dark-theme,xLargeCards,small-font,-6,0
ON_FOOT,1054,dark-theme,xLargeCards,large-font,-6,0
ON_FOOT,1346,dark-theme,xLargeCards,small-font,-3,0
IN_VEHICLE,417,dark-theme,largeCards,small-font,5,0
IN_VEHICLE,72,light-theme,xLargeCards,large-font,-6,0
STILL,8,light-theme,largeCards,large-font,6,1
STILL,7,light-theme,largeCards,large-font,6,1
STILL,34,light-theme,largeCards,small-font,3,0
STILL,37,light-theme,largeCards,small-font,6,1
STILL,37,light-theme,largeCards,small-font,6,1
STILL,39,light-theme,largeCards,small-font,3,0
STILL,10,light-theme,largeCards,small-font,6,1
STILL,10,light-theme,largeCards,small-font,4,0
ON_FOOT,3563,light-theme,xLargeCards,large-font,6,1
ON_FOOT,5849,light-theme,xLargeCards,large-font,6,1
STILL,4435,light-theme,xLargeCards,large-font,6,1
ON_FOOT,3037,light-theme,xLargeCards,large-font,6,1
STILL,10,light-theme,largeCards,large-font,6,1
STILL,6,light-theme,largeCards,large-font,6,1
STILL,12,dark-theme,largeCards,large-font,6,1
STILL,6,dark-theme,largeCards,large-font,6,1
