user_activity,environmental_brightness,theme,layout,font_size,preference,informativness,readability,likert_sum,binarized_output
ON_FOOT,79,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,16,withImages,light-theme,largeCards,small-font,1,0,0,1,0
STILL,0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,102,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,86,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,86,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
STILL,75,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,77,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,59,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,108,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,50,withImages,dark-theme,xLargeCards,large-font,1,2,1,4,0
STILL,49,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
STILL,68,withImages,dark-theme,xLargeCards,large-font,0,1,1,2,0
IN_VEHICLE,58,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
IN_VEHICLE,95,withImages,light-theme,xLargeCards,large-font,1,2,2,5,0
IN_VEHICLE,72,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
IN_VEHICLE,61,withImages,dark-theme,xLargeCards,large-font,1,2,1,4,0
STILL,62,withImages,light-theme,xLargeCards,large-font,2,2,1,5,0
IN_VEHICLE,62,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
IN_VEHICLE,117,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,218,withImages,light-theme,xLargeCards,small-font,1,2,2,5,0
STILL,184,withImages,light-theme,xLargeCards,small-font,1,2,1,4,0
IN_VEHICLE,888,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,620,withImages,light-theme,largeCards,small-font,2,2,2,6,1
ON_FOOT,681,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,257,withImages,light-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,2659,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,229,withImages,light-theme,largeCards,small-font,2,2,2,6,1
ON_FOOT,348,withImages,light-theme,largeCards,small-font,2,2,1,5,0
